CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
48,11,10,24,4,85,0.3766203274130229,0.032630924300065554,0,60.2,28.627450980392158,50.468,-256,-256,-256,51.718,49.687,50.0,49.375,51.718,2168,1934,7779,4.2004
13,47,66,16,3,11,0.36783162436189115,0.032630924300065554,0,59.7,28.627450980392158,51.218,-256,-256,-256,51.687,49.875,50.062,49.468,51.687,1855,1858,7317,3.4931
83,30,38,23,14,3,0.3697806822830532,0.032630924300065554,0,62.3,30.19607843137255,51.281,-256,-256,-256,51.562,49.937,50.125,49.593,51.562,1934,1858,7435,3.0786
16,29,53,13,6,88,0.3701743899325673,0.032630924300065554,0,66.8,30.19607843137255,50.937,-256,-256,-256,51.687,49.875,50.187,49.562,51.687,2250,1934,7897,4.2158
56,19,88,24,15,12,0.37056912286241867,0.03262329490462481,0,59.0,30.19607843137255,51.406,-256,-256,-256,51.75,50.031,50.156,49.593,51.75,2247,1974,7937,3.9256
21,32,21,42,87,3,0.37092284457877894,0.03260803611374332,0,60.7,30.19607843137255,51.093,-256,-256,-256,52.0,50.0,50.187,49.531,52.0,2207,1934,7858,4.2005
35,33,48,16,37,7,0.37284985897268963,0.03260803611374332,0,50.5,30.19607843137255,51.093,-256,-256,-256,51.687,49.906,50.156,49.593,51.687,1816,1858,7277,3.5626
65,27,41,26,17,55,0.3739474215737438,0.03260803611374332,0,53.6,30.19607843137255,50.937,-256,-256,-256,51.718,50.0,50.125,49.593,51.718,2128,1895,7700,3.1642
20,12,34,53,63,6,0.3745272176044735,0.03260803611374332,0,50.7,30.19607843137255,50.968,-256,-256,-256,51.937,49.906,50.187,49.406,51.937,1974,1898,7514,3.6818
26,14,40,89,76,15,0.37717551671565797,0.032600406718302576,0,59.0,30.19607843137255,51.031,-256,-256,-256,51.843,49.968,50.156,49.625,51.843,2247,1934,7937,3.4945
