CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
90,29,61,26,14,67,0.4215194039430231,0.03259277732286183,0,69.9,30.19607843137255,51.343,-256,-256,-256,52.062,49.937,50.218,49.937,52.062,2715,2171,8963,6.7345
87,91,26,67,6,6,0.42848105743312864,0.03259277732286183,0,81.1,30.19607843137255,51.031,-256,-256,-256,52.125,50.156,50.281,49.843,52.125,2799,2171,9082,6.657
90,66,92,11,24,10,0.4325427054892484,0.03259277732286183,0,79.1,30.19607843137255,51.812,-256,-256,-256,52.218,50.156,50.375,49.968,52.218,2833,2171,9121,5.6116
17,37,32,14,88,75,0.433333709269457,0.03259277732286183,0,80.1,30.19607843137255,51.312,-256,-256,-256,52.343,50.25,50.593,49.875,52.343,2794,2168,9042,5.7299
89,29,22,17,8,73,0.4366776610894834,0.03257751853198034,0,83.8,30.19607843137255,51.75,-256,-256,-256,52.656,50.468,50.593,50.312,52.656,2755,2168,9042,5.7869
71,13,27,46,19,93,0.4404050677556511,0.0325698891365396,0,86.6,32.15686274509804,51.531,-256,-256,-256,52.843,50.531,50.812,50.281,52.843,2794,2168,9121,4.9124
70,19,32,84,5,60,0.4436070182489647,0.03256225974109885,0,67.0,32.15686274509804,51.937,-256,-256,-256,52.906,50.625,50.843,50.5,52.906,2799,2168,9042,5.6108
28,31,51,24,5,91,0.4457806125639903,0.03256225974109885,0,81.8,32.15686274509804,51.875,-256,-256,-256,53.062,50.656,50.812,50.375,53.062,2680,2171,8963,5.7543
19,90,33,58,4,9,0.44402174414539297,0.03256225974109885,0,81.7,32.15686274509804,51.781,-256,-256,-256,52.718,50.656,50.906,50.375,52.718,2759,2171,8963,6.0483
78,89,36,14,6,8,0.44790909454417577,0.03256225974109885,0,82.6,32.15686274509804,51.843,-256,-256,-256,52.875,50.937,51.031,50.5,52.875,2794,2171,9082,5.7337
