CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
54,14,27,51,49,44,0.34939913445833926,0.03267670067271002,0,46.6,30.58823529411765,50.843,-256,-256,-256,51.437,49.781,50.187,49.437,51.625,1852,1776,7068,5.5086
19,17,43,10,3,44,0.35134767973933273,0.03267670067271002,0,44.8,30.58823529411765,50.812,-256,-256,-256,51.531,49.875,50.187,49.406,51.531,1419,1703,6357,3.2906
11,16,11,79,9,5,0.35404724286738104,0.03267670067271002,0,47.4,30.58823529411765,50.843,-256,-256,-256,51.593,49.75,50.093,49.375,51.593,1776,1779,7040,3.4699
15,32,13,58,4,13,0.35451528334134763,0.03267670067271002,0,50.0,30.58823529411765,51.0,-256,-256,-256,51.343,49.687,50.156,49.312,51.343,1619,1779,6763,3.2454
9,44,17,58,12,66,0.35735018347391634,0.03266907127726928,0,47.7,28.627450980392158,50.375,-256,-256,-256,51.343,49.75,50.031,49.312,51.375,1776,1779,7000,2.8419
12,15,44,15,6,66,0.36089714080072344,0.032646183090947044,0,47.9,28.627450980392158,50.562,-256,-256,-256,51.437,49.781,50.125,49.281,51.437,1776,1779,7040,2.9993
22,47,16,70,2,23,0.36459635225761605,0.032646183090947044,0,48.3,28.627450980392158,50.75,-256,-256,-256,51.312,49.687,50.062,49.281,51.312,1776,1819,7040,3.0111
25,34,14,28,6,69,0.3686462095898571,0.032646183090947044,0,47.6,28.627450980392158,50.281,-256,-256,-256,51.312,49.687,50.0,49.25,51.312,1776,1779,7040,3.0136
26,24,12,70,2,23,0.37078955813493303,0.032646183090947044,0,47.0,28.627450980392158,50.625,-256,-256,-256,51.406,49.718,49.875,49.281,51.406,1816,1779,7040,2.9883
23,17,24,72,5,7,0.37344913532982754,0.032630924300065554,0,47.8,28.627450980392158,50.781,-256,-256,-256,51.531,49.625,50.062,49.156,51.218,1776,1779,7040,3.0104
