CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
46,71,37,9,57,37,0.3740104763144863,0.03336334626237705,0,50.7,31.372549019607842,52.187,-256,-256,-256,52.687,50.875,51.125,50.343,52.406,1892,1776,7107,5.4763
9,8,68,9,40,6,0.3771832063181875,0.03336334626237705,0,48.1,31.372549019607842,52.281,-256,-256,-256,52.75,50.781,51.156,50.312,52.75,1816,1779,7040,2.8642
25,29,69,18,2,2,0.38175134286092177,0.03335571686693631,0,50.1,31.372549019607842,52.218,-256,-256,-256,52.5,50.781,51.031,50.406,52.5,1776,1779,7040,3.0222
18,46,30,20,5,55,0.38561870029312767,0.03332519928517333,0,48.8,31.372549019607842,51.531,-256,-256,-256,52.437,50.781,51.093,50.25,52.437,1776,1779,7040,2.9965
10,21,9,25,32,67,0.3894742670014549,0.03332519928517333,0,54.6,31.372549019607842,51.406,-256,-256,-256,52.531,50.718,51.062,50.218,52.531,1697,1779,6921,2.986
46,24,11,36,23,7,0.3934477409485689,0.03332519928517333,0,50.6,31.372549019607842,51.5,-256,-256,-256,52.468,50.75,50.875,50.218,52.468,1421,1740,6526,3.2977
12,22,60,18,2,10,0.396276489399114,0.03330994049429184,0,54.2,31.372549019607842,52.093,-256,-256,-256,52.281,50.718,50.968,50.25,52.281,1421,1740,6526,3.0107
72,47,63,7,7,8,0.39918213387495477,0.03329468170341035,0,49.9,31.372549019607842,51.875,-256,-256,-256,52.593,50.781,50.968,50.343,52.593,1776,1776,7040,2.6993
25,32,31,60,8,17,0.3990673024771798,0.03329468170341035,0,47.5,31.372549019607842,51.718,-256,-256,-256,52.343,50.812,50.906,50.187,52.343,1697,1779,6882,3.1102
54,21,15,42,6,11,0.39925441613873275,0.03329468170341035,0,48.6,31.372549019607842,51.687,-256,-256,-256,52.5,50.687,51.0,50.218,52.5,1852,1816,7147,2.8002
