CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
38,18,12,25,91,32,0.400116676902382,0.03327942291252886,0,66.2,31.372549019607842,51.812,-256,-256,-256,52.625,50.625,50.937,50.25,52.625,2128,1934,7779,4.3675
15,21,7,21,49,91,0.36745944759945987,0.03327942291252886,0,57.6,31.372549019607842,51.593,-256,-256,-256,52.75,50.75,51.062,50.375,52.75,2247,1934,7937,3.6417
29,21,87,21,5,9,0.36850267034263845,0.03327942291252886,0,64.4,31.372549019607842,52.031,-256,-256,-256,52.593,50.718,51.0,50.375,52.593,2089,1934,7739,4.4023
19,54,12,20,40,90,0.3700959559867657,0.033271793517088116,0,59.6,31.372549019607842,51.593,-256,-256,-256,52.718,50.75,50.968,50.343,52.718,2207,1934,7937,3.71
31,10,23,12,37,59,0.3713816575297101,0.03325653472620663,0,60.6,31.372549019607842,51.718,-256,-256,-256,52.468,50.687,51.093,50.25,52.343,1621,1819,6961,3.8042
23,21,21,29,90,3,0.37275194470047973,0.03325653472620663,0,61.3,31.372549019607842,51.937,-256,-256,-256,52.718,50.75,51.062,50.312,52.718,2168,1934,7818,4.3757
14,43,10,33,84,46,0.3750777931455908,0.03325653472620663,0,61.4,31.372549019607842,51.937,-256,-256,-256,52.812,50.75,51.0,50.312,52.812,2247,1934,7897,3.701
86,36,25,12,8,31,0.3758221466704534,0.03325653472620663,0,62.9,31.372549019607842,51.812,-256,-256,-256,52.312,50.781,50.843,50.343,52.562,2089,1934,7752,4.3313
13,13,54,48,39,5,0.3783720188692593,0.03325653472620663,0,57.9,31.372549019607842,52.031,-256,-256,-256,52.656,50.625,50.906,50.187,52.656,1737,1858,7119,3.504
32,42,22,14,86,28,0.38243469220571635,0.03325653472620663,0,68.4,31.372549019607842,51.75,-256,-256,-256,52.406,50.718,50.843,50.218,52.406,2207,1934,7858,3.1089
