CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
44,64,66,30,51,95,0.9222673459490661,0,0,99.3,34.90196078431372,54.156,-256,-256,-256,56.187,52.156,52.093,52.406,56.187,6371,5729,19168,9.2688
63,35,68,65,34,80,0.9301230438932765,0,0,99.3,34.90196078431372,54.843,-256,-256,-256,56.781,52.875,52.593,53.281,56.781,6409,5690,19215,9.4495
37,18,19,66,26,89,0.9300364077047767,0,0,99.3,34.90196078431372,55.093,-256,-256,-256,57.187,53.343,53.031,53.593,57.187,6448,5729,19215,8.9104
29,28,57,63,13,87,0.9296370610134076,0,0,85.8,36.86274509803921,55.718,-256,-256,-256,57.718,53.656,53.312,53.937,57.718,6526,5729,19293,8.1029
66,53,20,25,11,87,0.9303081069941549,0,0,99.7,35.294117647058826,55.531,-256,-256,-256,57.718,53.625,53.531,53.843,57.562,6409,5651,19215,11.3655
