CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
25,17,11,44,31,86,0.4829808590413834,0,0,83.1,30.19607843137255,50.5,-256,-256,-256,52.187,49.937,50.156,49.531,52.187,2838,2171,9161,3.922
84,18,30,18,11,39,0.488617850335728,0,0,69.7,30.19607843137255,51.187,-256,-256,-256,52.187,49.937,50.218,49.812,52.187,2877,2132,9215,4.0539
57,15,16,12,4,37,0.489606733221031,0,0,48.2,30.19607843137255,51.156,-256,-256,-256,52.093,49.968,50.25,49.781,52.093,2369,2017,8266,3.5668
51,14,18,86,4,4,0.4895759748109127,0,0,74.0,30.19607843137255,51.406,-256,-256,-256,52.343,50.031,50.406,49.812,52.343,2956,2171,9200,7.364
16,46,69,26,3,31,0.4925251937010877,0,0,58.4,30.19607843137255,51.468,-256,-256,-256,52.25,50.187,50.375,49.781,52.25,2369,2056,8305,5.5793
