CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
17,91,70,35,5,43,0.5870601419193043,0,0,76.8,30.19607843137255,51.937,-256,-256,-256,53.437,50.531,50.656,50.562,53.437,3962,3929,12949,6.7541
57,16,53,91,91,16,0.5961210568999828,0,0,68.3,32.15686274509804,52.562,-256,-256,-256,53.75,50.968,51.062,50.906,54.0,4080,4047,13203,5.4478
12,20,89,11,30,66,0.5954412960363688,0,0,66.9,32.15686274509804,52.812,-256,-256,-256,53.875,51.125,51.187,50.937,53.875,3844,3890,12752,5.8673
20,91,19,11,50,45,0.5952659730986946,0,0,82.2,33.72549019607843,52.937,-256,-256,-256,54.218,51.312,51.5,51.5,54.218,4080,4047,13242,5.24
11,53,34,43,4,75,0.5984002550897479,0,0,72.5,33.72549019607843,53.718,-256,-256,-256,54.656,51.75,51.75,51.531,54.656,3962,4008,13067,5.3605
