CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
17,13,94,8,6,6,0.44734262715783063,0,0,67.3,30.58823529411765,50.906,-256,-256,-256,51.25,49.593,49.937,49.156,51.25,1695,1703,6515,5.9538
32,8,48,77,4,7,0.45416279196139203,0,0,68.2,30.19607843137255,50.656,-256,-256,-256,51.531,49.531,50.0,49.312,51.531,2092,1938,7712,3.3052
28,10,25,16,25,21,0.45656092267028114,0,0,0.0,30.19607843137255,50.062,-256,-256,-256,51.093,49.562,50.062,49.125,51.093,952,1666,5802,3.9003
10,18,49,16,49,15,0.4595116794809621,0,0,66.5,30.19607843137255,50.687,-256,-256,-256,51.468,49.687,50.0,49.281,51.468,2092,1898,7752,3.0684
12,21,43,26,18,56,0.46430537769789704,0,0,67.5,30.19607843137255,50.468,-256,-256,-256,51.468,49.812,50.156,49.25,51.812,1816,1858,7289,3.3262
