CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
16,18,14,20,24,96,0.34201352754877,0.030609134508268177,0,63.8,30.58823529411765,50.718,-256,-256,-256,51.843,49.843,50.187,49.468,51.843,1655,1740,6723,4.9344
53,15,23,11,6,78,0.34526827997945336,0.030601505112827432,0,67.6,30.58823529411765,50.906,-256,-256,-256,51.656,49.968,50.218,49.687,51.656,1931,1858,7423,2.6535
33,29,46,25,5,59,0.3467826190376104,0.030601505112827432,0,64.6,30.58823529411765,50.875,-256,-256,-256,51.687,49.843,50.187,49.531,51.687,1895,1858,7396,2.8702
24,21,74,45,3,38,0.34792426869316745,0.030593875717386688,0,64.6,30.58823529411765,51.531,-256,-256,-256,51.812,49.843,50.25,49.625,51.812,2053,1898,7633,2.9039
61,31,28,22,2,2,0.3461197752995613,0.030570987531064454,0,66.4,30.58823529411765,50.843,-256,-256,-256,51.687,49.968,50.187,49.687,51.687,1776,1858,7277,3.2062
40,14,8,22,9,65,0.3486788750214027,0.03056335813562371,0,66.8,30.58823529411765,50.906,-256,-256,-256,51.687,50.0,50.187,49.593,51.687,1934,1898,7475,2.8835
25,32,21,12,27,74,0.3499727788070453,0.030555728740182964,0,66.1,30.58823529411765,50.843,-256,-256,-256,52.125,50.0,50.218,49.5,52.125,2053,1898,7673,2.9243
41,18,20,49,18,6,0.3511539017555875,0.030555728740182964,0,65.9,30.58823529411765,50.906,-256,-256,-256,51.781,50.093,50.218,49.625,51.687,1465,1782,6734,3.4197
23,16,9,19,38,60,0.3532910986186398,0.030555728740182964,0,62.9,30.58823529411765,50.75,-256,-256,-256,51.843,50.0,50.343,49.5,51.843,1895,1898,7435,3.6749
12,21,15,36,4,58,0.355040226874033,0.030540469949301475,0,65.5,30.58823529411765,50.812,-256,-256,-256,52.031,50.0,50.187,49.562,51.718,1776,1858,7277,3.0881
