CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
85,15,32,43,9,89,0.5121398318335191,0.030509952367538496,0,86.0,30.58823529411765,52.343,-256,-256,-256,53.562,51.0,51.187,50.843,53.562,3766,3929,12752,5.8801
43,12,91,17,8,92,0.5146148585677038,0.030509952367538496,0,74.8,30.58823529411765,53.156,-256,-256,-256,54.125,51.156,51.406,51.218,54.125,3883,3929,12831,5.7151
11,40,90,43,56,6,0.5206178749424561,0.030509952367538496,0,72.2,33.72549019607843,53.187,-256,-256,-256,54.125,51.406,51.406,51.312,54.125,3727,3857,12595,5.64
65,33,90,23,5,5,0.5205871165323378,0.030509952367538496,0,84.1,33.72549019607843,53.531,-256,-256,-256,54.468,51.562,51.718,51.5,54.25,3727,3896,12634,5.9649
19,16,20,39,88,93,0.5222834428503613,0.030509952367538496,0,90.3,33.72549019607843,53.218,-256,-256,-256,54.75,51.75,51.906,51.593,54.75,3727,3857,12516,5.1502
33,91,86,30,14,57,0.5245052253412389,0.030509952367538496,0,96.1,33.72549019607843,53.656,-256,-256,-256,54.656,52.031,52.062,51.937,54.656,3805,3929,12752,6.504
57,26,19,13,19,93,0.524390393943464,0.030509952367538496,0,98.9,33.72549019607843,53.406,-256,-256,-256,54.937,52.125,52.062,52.062,54.718,3805,3929,12792,6.0413
64,89,21,53,84,9,0.5257950280055325,0.030509952367538496,0,95.7,33.72549019607843,54.093,-256,-256,-256,54.937,52.281,52.406,52.25,54.937,3766,3929,12752,5.1598
30,79,20,57,84,88,0.5311669843326912,0.030509952367538496,0,84.0,33.72549019607843,53.843,-256,-256,-256,55.281,52.5,52.562,52.343,55.281,3805,3929,12752,5.7335
47,28,22,94,19,8,0.5329284159521317,0.030509952367538496,0,86.8,33.72549019607843,54.125,-256,-256,-256,55.125,52.656,52.625,52.531,55.125,3727,3851,12595,5.5418
