CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
34,28,46,88,60,81,0.9027793299382884,0.07317353167218348,0,99.3,40.0,57.312,-256,-256,-256,59.531,55.25,54.937,55.625,59.531,6709,5758,19838,11.7854
59,36,67,86,58,89,0.9153349129485729,0.07358551902598369,0,99.3,40.0,57.875,-256,-256,-256,59.906,55.531,55.343,55.906,59.906,6709,5836,19955,10.763
44,36,65,76,44,88,0.9211579926241332,0.07585907886732565,0,99.3,38.431372549019606,58.375,-256,-256,-256,59.937,55.843,55.531,56.218,59.937,6670,5836,19760,11.1002
69,35,66,65,42,81,0.9066179795210505,0.07676697692477429,0,99.4,38.431372549019606,57.843,-256,-256,-256,59.968,55.843,55.718,56.218,59.968,6748,5836,19760,11.2075
32,28,67,87,59,72,0.9149642741066476,0.07670594176124833,0,99.3,40.3921568627451,58.187,-256,-256,-256,59.937,55.812,55.531,56.156,59.968,6787,5836,19955,12.6652
70,27,65,32,34,89,0.9205284704970457,0.07596589040349608,0,99.3,41.568627450980394,58.343,-256,-256,-256,59.781,56.125,55.5,56.156,59.781,6632,5797,19643,11.1857
69,40,82,41,46,87,0.9204889972040605,0.076446542316263,0,99.3,41.568627450980394,57.937,-256,-256,-256,59.937,55.968,55.625,56.312,59.937,6670,5836,19682,10.9883
74,68,75,31,37,62,0.9206392007734715,0.07631684259377033,0,99.3,41.568627450980394,58.281,-256,-256,-256,60.25,56.25,55.968,56.531,60.25,6670,5758,19799,10.9849
74,21,35,67,46,85,0.9208914197364414,0.0763626189664148,0,99.3,41.568627450980394,58.562,-256,-256,-256,60.562,56.218,55.937,56.406,60.562,6709,5836,19877,11.7378
27,54,69,28,31,64,0.919882031244393,0.07639313654817778,0,99.3,41.568627450980394,58.468,-256,-256,-256,60.343,56.406,56.093,56.625,60.437,6632,5797,19604,12.6835
