CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,execution_time_sec
71,40,39,67,56,88,0.8658154105786374,0.03063202269459041,0,99.4,36.86274509803921,55.062,-256,-256,-256,57.031,53.031,52.875,53.468,57.031,6448,5690,19246,9.6001
55,46,53,45,36,91,0.8706644739337853,0.04088593016695144,0,99.2,36.86274509803921,55.437,-256,-256,-256,57.468,53.406,53.156,53.562,57.468,6332,5534,18934,8.3817
58,38,81,9,29,91,0.8406540058215417,0.05204010630132035,0,99.3,36.86274509803921,55.531,-256,-256,-256,57.781,53.687,53.562,53.906,57.781,6371,5651,19012,8.7155
60,13,32,62,34,89,0.806456292811862,0.0621109082831035,0,79.1,36.86274509803921,56.125,-256,-256,-256,57.937,54.0,53.843,54.218,57.937,6448,5573,19098,8.2255
23,51,68,69,18,82,0.7618750531864175,0.06887818203904415,0,99.3,36.86274509803921,56.812,-256,-256,-256,58.625,54.437,54.093,54.812,58.625,6565,5720,19449,8.1911
48,29,46,33,24,80,0.736182040574444,0.07009888530956332,0,99.3,36.86274509803921,56.437,-256,-256,-256,58.406,54.375,54.281,54.593,58.406,6371,5573,18973,7.8421
46,17,79,29,31,64,0.7230984381904623,0.07018280865941151,0,45.3,36.86274509803921,55.312,-256,-256,-256,56.25,54.562,54.281,53.937,56.25,1695,2838,7884,10.0298
65,17,22,32,35,79,0.7314114111650978,0.07131958858008249,0,99.6,36.86274509803921,56.437,-256,-256,-256,58.5,54.562,54.156,54.687,58.5,6448,5651,19176,6.815
55,55,70,18,39,87,0.7233547582747812,0.07198334598342729,0,99.3,40.0,56.968,-256,-256,-256,59.093,54.875,54.5,55.156,58.718,6554,5758,19410,7.5217
59,30,45,28,44,49,0.718680505217139,0.07318879046306496,0,99.1,40.0,57.0,-256,-256,-256,58.718,54.906,54.656,55.125,58.906,6409,5651,19098,7.4614
